"R0000100","R0536300","R0536401","R1210700","U4329700","U4330000","U4336100","U4336200","U4336300","U4337600","U4337700","U4337800","U4337900","U4338800","U4338900","U4339000","U4339100"
66,1,10,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
67,1,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
68,1,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
69,2,7,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
70,1,8,82,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
71,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
72,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
73,1,10,75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
74,1,7,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
75,1,1,32,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
76,1,1,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
77,2,11,27,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
78,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
79,1,12,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
80,1,6,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
81,2,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
82,1,7,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
83,1,9,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
84,2,2,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
85,1,2,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
86,2,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
87,1,5,94,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
88,1,1,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
89,1,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
90,1,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
91,2,9,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
92,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
93,1,9,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
94,2,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
95,1,7,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
96,1,7,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
97,1,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
98,1,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
99,1,6,53,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
100,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
101,2,7,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
102,2,4,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
103,2,11,82,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,2,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
105,1,8,70,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
106,1,11,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
107,2,8,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
108,1,9,75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
109,2,3,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
110,2,2,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
111,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
112,2,4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
113,1,4,95,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
114,2,7,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
115,2,10,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
116,1,10,39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
