"R0000100","R0536300","R0536401","R1210700","U4329700","U4330000","U4336100","U4336200","U4336300","U4337600","U4337700","U4337800","U4337900","U4338800","U4338900","U4339000","U4339100"
2161,1,12,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2162,1,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2163,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2164,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2165,1,6,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2166,1,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2167,1,7,91,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2168,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2169,2,12,77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2170,2,10,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2171,2,7,97,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2172,1,12,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2173,1,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2174,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2175,1,11,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2176,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2177,2,1,95,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2178,1,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2179,2,4,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2180,2,10,68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2181,1,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2182,1,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2183,1,4,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2184,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2185,1,5,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2186,1,5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2187,1,9,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2188,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2189,1,5,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2190,1,1,86,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2191,2,10,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2192,2,6,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2193,1,8,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2194,2,7,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2195,2,1,96,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2196,2,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2197,1,5,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2198,2,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2199,1,9,70,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2200,1,12,97,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2201,2,11,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2202,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2203,2,5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2204,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2205,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2206,1,8,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2207,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2208,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2209,1,3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2210,1,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2211,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2212,1,8,77,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2213,1,4,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2214,1,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2215,1,5,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2216,2,3,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2217,2,5,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2218,1,12,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2219,2,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2220,1,8,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2221,1,10,88,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2222,2,10,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2223,2,12,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2224,1,7,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2225,1,8,68,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2226,1,5,92,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2227,1,10,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2228,1,5,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2229,1,6,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2230,1,6,-3,-4,-4,1,-4,-4,-4,-4,-4,-4,1,-4,-4,-4
2231,2,5,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2232,2,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2233,1,9,97,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2234,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2235,1,1,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2236,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2237,1,3,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2238,1,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2239,2,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2240,2,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2241,1,4,32,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2242,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2243,2,1,37,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2244,2,9,23,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2245,2,3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2246,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2247,2,3,9,-4,-4,0,0,-4,-4,-4,-4,-4,0,-4,-4,-4
2248,2,12,84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2249,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2250,1,10,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2251,1,3,39,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2252,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2253,1,6,82,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2254,1,1,61,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2255,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2256,1,8,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2257,1,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2258,2,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2260,2,12,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2261,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2262,1,8,75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2263,2,3,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2264,1,11,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2265,2,1,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2266,1,3,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2267,1,11,12,-4,-4,0,-4,1,-4,-4,-4,-4,-4,-4,-4,-4
2268,2,9,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2269,1,10,79,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2270,2,12,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2271,2,9,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2272,1,9,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2273,1,12,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2274,1,10,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2275,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2276,1,6,91,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2277,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2278,1,7,68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2279,1,2,84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2280,2,8,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2281,1,2,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2282,1,12,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2283,2,3,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2284,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2285,1,9,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2286,2,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2287,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2288,1,7,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2289,1,7,92,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2290,1,10,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2291,1,3,81,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2292,1,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2293,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2294,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2295,1,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2296,1,6,81,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2297,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2298,2,9,77,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2299,2,9,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2300,1,9,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2301,1,9,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2302,1,4,55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2303,1,7,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2304,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2305,1,4,61,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2306,1,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2307,2,8,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2308,1,1,88,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2309,1,12,90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2310,1,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2311,2,10,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2312,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2313,1,7,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2314,1,7,14,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2315,1,1,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2316,1,10,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2317,2,3,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2318,2,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2319,1,10,81,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2320,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2321,2,9,75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2322,2,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2323,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2324,2,9,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2325,1,11,88,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2326,1,7,47,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2327,1,3,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2328,1,2,90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2329,1,9,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2330,1,9,97,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2331,1,9,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2332,2,12,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2333,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2334,2,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2335,2,7,86,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2336,2,2,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2337,2,2,91,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2338,1,6,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2339,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2340,2,8,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2341,1,8,87,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2342,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2343,2,5,82,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2344,2,4,86,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2345,2,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2346,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2347,2,3,97,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2348,2,6,50,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2349,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2350,1,3,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2351,2,12,75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2352,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2353,2,11,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2354,2,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2355,1,9,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2356,2,7,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2357,1,2,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2358,1,7,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2359,2,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2360,1,5,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2361,1,5,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2362,1,5,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2363,1,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2364,2,8,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2365,1,4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2366,2,12,87,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2367,1,7,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2368,2,6,90,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2369,1,10,45,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2370,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2371,1,7,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2372,1,7,55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2373,1,3,75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2374,1,9,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2375,1,6,75,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2376,1,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2377,1,7,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2378,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2379,1,2,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2380,2,9,55,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2381,1,11,75,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2382,1,11,81,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2383,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2384,1,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2385,1,2,55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2386,2,8,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2387,1,12,82,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2388,1,5,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2389,1,7,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2390,2,7,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2391,2,6,81,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2392,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2393,1,5,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2394,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2395,1,11,94,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2396,2,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2397,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2398,1,9,32,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2399,2,7,34,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2400,2,7,27,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2401,2,7,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2402,1,12,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2403,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2404,1,12,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2405,2,5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2406,2,3,91,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2407,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2408,1,12,50,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2409,1,8,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2410,1,11,32,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2411,1,5,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2412,2,12,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2413,2,4,77,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2414,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2415,2,8,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2416,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2417,1,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2418,1,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2419,1,1,30,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2420,2,12,96,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2421,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2422,1,12,91,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2423,1,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2424,2,3,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2425,1,11,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2426,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2427,2,8,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2428,1,5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2429,1,5,81,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2430,2,3,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2431,1,10,97,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2432,2,9,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2433,2,9,25,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2434,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2435,2,11,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2436,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2437,2,3,63,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2438,2,7,45,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2439,1,12,95,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2440,2,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2441,1,10,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2442,1,5,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2443,2,8,66,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2444,2,2,79,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2445,2,11,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2446,2,11,37,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2447,1,6,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2448,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
