"E8033100","R0000100","R0536300","R0536401","R0536402","R1210700","R1235800","R1482600","R9829600","U4282400"
0,1951,1,7,1982,-4,1,4,-4,-4
1,1952,1,11,1983,1,1,1,2276,-5
0,1953,2,8,1982,1,1,2,11105,-4
0,1954,2,9,1984,0,1,1,11027,-4
1,1955,1,3,1982,-4,1,1,13672,-5
0,1956,2,7,1982,-3,1,1,25968,-4
1,1957,1,10,1981,18,1,2,28424,-5
0,1958,1,2,1984,6,1,2,16651,-5
0,1959,2,3,1980,-4,1,1,37804,-4
0,1960,1,1,1984,0,1,2,-4,-4
10,1961,1,1,1984,0,1,2,-4,-4
2,1962,2,6,1984,95,1,4,-4,5
0,1963,1,4,1984,63,1,4,49263,-5
3,1964,2,7,1982,88,1,4,85938,-4
1,1965,1,11,1982,90,1,2,70696,-5
0,1966,1,6,1981,-4,1,2,12588,-4
4,1967,1,2,1981,-4,1,2,33299,-4
0,1968,1,9,1983,45,1,2,19745,-4
0,1969,2,11,1984,96,1,2,54080,-4
3,1970,1,11,1984,95,1,3,95947,-4
0,1971,2,2,1980,-4,1,1,33133,-4
1,1972,2,2,1983,14,1,1,31251,-4
26,1973,1,12,1984,77,1,4,59661,2
1,1974,1,10,1984,18,1,4,79781,-4
0,1975,1,1,1982,79,1,2,91215,-4
0,1976,1,12,1984,75,1,2,26572,-4
0,1977,2,3,1981,-4,1,1,72030,-4
1,1978,2,7,1982,42,1,2,-4,-4
0,1979,1,3,1984,47,1,4,40825,-5
0,1980,2,9,1980,-4,1,2,-4,-4
0,1981,1,8,1981,-4,1,2,-4,-4
0,1982,1,6,1983,63,1,2,72269,-4
0,1983,2,5,1982,-4,1,1,-4,-5
0,1984,2,9,1984,45,1,1,-4,-4
0,1985,1,11,1980,-4,1,4,79554,-4
0,1986,2,6,1983,92,1,4,-4,-5
0,1987,2,10,1981,16,1,2,18689,-4
1,1988,2,8,1982,6,1,4,6960,-4
2,1989,2,3,1981,-4,1,4,-4,-4
1,1990,1,3,1980,-4,1,2,65402,-4
0,1991,2,12,1983,-3,1,2,68479,-5
0,1992,2,7,1981,-4,1,4,-4,-4
1,1993,1,12,1983,2,1,4,-4,-4
0,1994,1,12,1984,96,1,4,89773,-4
1,1995,2,3,1980,-4,1,4,43292,-5
0,1996,1,8,1982,86,1,4,87225,-5
0,1997,2,3,1980,-4,1,2,-5,-5
0,1998,2,1,1984,92,1,2,-4,-4
3,1999,1,2,1982,45,1,1,24647,-5
21,2000,1,11,1984,10,1,1,3967,-5
0,2001,2,1,1982,-4,1,4,-4,-4
0,2002,2,10,1983,39,1,4,42665,-4
0,2003,1,5,1983,18,1,4,25598,-5
0,2004,2,2,1981,-4,1,4,-4,-4
14,2005,1,6,1983,27,1,4,-4,-4
2,2006,1,5,1982,92,1,4,94797,-4
0,2007,2,10,1981,1,1,4,12856,-4
1,2008,2,10,1982,1,1,4,3894,-4
8,2009,1,6,1981,0,1,4,3994,4
1,2010,1,1,1984,66,1,4,34266,-4
1,2011,2,1,1980,-4,1,4,25644,-4
8,2012,2,8,1984,-3,1,4,-4,-4
12,2013,1,2,1984,34,1,4,15714,-4
2,2014,1,12,1982,4,1,4,-4,-4
0,2015,2,5,1981,6,1,1,1723,-4
1,2016,2,5,1981,-3,1,1,10172,-4
1,2017,2,10,1981,-4,1,1,71305,-4
9,2018,1,7,1981,2,1,1,25863,-4
4,2019,1,8,1981,0,1,1,10803,-4
2,2020,2,1,1983,8,1,1,29400,-4
0,2021,2,12,1982,5,1,1,-4,-5
0,2022,2,12,1980,-4,1,1,14494,-5
0,2023,2,10,1981,58,1,1,2872,-5
2,2024,1,9,1983,14,1,1,2754,-5
1,2025,2,8,1984,84,1,1,-4,-4
4,2026,2,8,1983,9,1,1,12956,-4
0,2027,2,3,1981,-4,1,4,81228,-4
0,2028,2,5,1983,88,1,4,65556,-4
2,2029,1,1,1984,53,1,4,66898,-4
0,2030,1,11,1980,-4,1,1,67068,-4
0,2031,2,10,1980,-4,1,4,8490,-5
5,2032,1,1,1984,13,1,1,22339,-4
0,2033,2,3,1984,66,1,4,-4,-4
0,2034,2,11,1982,81,1,4,62397,-5
0,2035,1,12,1981,-4,1,4,82494,-4
0,2036,2,2,1984,50,1,1,57980,-4
13,2037,1,12,1980,-4,1,2,10835,-4
0,2038,2,4,1982,5,1,1,33291,-4
0,2039,2,7,1984,75,1,4,86924,-4
0,2040,2,3,1980,-4,1,4,95918,-4
11,2041,1,5,1983,68,1,4,79539,-4
0,2042,1,8,1981,-4,1,4,91123,-4
0,2043,1,5,1984,79,1,4,82023,-4
0,2044,2,12,1980,-4,1,4,-4,-5
0,2045,1,4,1983,-3,1,4,-4,-4
1,2046,1,12,1980,-4,1,4,21494,-4
3,2047,1,11,1984,25,1,4,8766,-4
1,2048,1,5,1980,-4,1,4,100000,-4
0,2049,1,4,1982,23,1,4,28619,-5
0,2050,1,3,1981,-4,1,4,65383,-4
0,2051,1,9,1982,87,1,4,93136,-5
0,2052,2,2,1980,-4,1,4,76751,-5
0,2053,2,2,1982,23,1,4,60855,-4
61,2054,1,8,1981,95,1,4,67203,-5
0,2055,2,11,1983,97,1,4,78365,-4
3,2056,2,2,1984,50,1,4,94948,-4
1,2057,1,3,1982,87,1,4,83550,-4
0,2058,1,2,1984,95,1,4,68947,-5
1,2059,2,1,1980,-4,1,4,90020,-4
1,2060,1,8,1984,58,1,4,64563,-5
0,2061,2,6,1980,-4,1,4,84087,-4
0,2062,1,6,1983,98,1,4,100000,-4
0,2063,2,10,1981,-4,1,4,58750,-4
0,2064,1,9,1980,-4,1,4,-4,-5
0,2065,1,5,1983,37,1,4,33774,-5
0,2066,2,6,1981,-4,1,4,79092,-5
0,2067,2,9,1983,95,1,4,69759,-5
0,2068,1,10,1983,92,1,4,75919,-4
0,2069,2,11,1984,99,1,4,100000,-4
1,2070,1,6,1982,92,1,4,88577,-4
0,2071,1,11,1983,63,1,4,64541,-4
0,2072,1,9,1984,99,1,4,99668,-4
0,2073,1,4,1980,-4,1,4,74078,-4
0,2074,1,6,1982,32,1,4,60600,-4
0,2075,2,6,1982,81,1,4,76549,-4
2,2076,1,5,1980,-4,1,4,89701,-5
0,2077,2,2,1984,96,1,4,90204,5
0,2078,2,4,1983,88,1,4,81194,-5
0,2079,2,8,1981,-4,1,4,52496,-4
0,2080,2,12,1982,91,1,4,94958,-4
2,2081,1,3,1984,95,1,4,84887,-4
0,2082,1,9,1982,13,1,4,49822,-5
2,2083,2,8,1981,-4,1,4,70555,-4
0,2084,2,9,1982,70,1,4,72707,-4
0,2085,2,6,1981,-4,1,4,92942,-5
0,2086,1,3,1984,98,1,4,97538,-5
0,2087,1,6,1983,-3,1,4,-4,-4
0,2088,1,2,1980,-4,1,4,76341,-4
0,2089,1,1,1981,-4,1,4,86654,-4
0,2090,2,4,1983,97,1,4,99241,-4
0,2091,2,6,1981,-4,1,4,92593,-5
1,2092,1,12,1982,91,1,4,85820,-4
4,2093,1,2,1982,0,1,1,19094,-5
0,2094,2,7,1983,90,1,4,57882,-4
2,2095,1,11,1982,27,1,4,35916,-4
2,2096,1,2,1983,88,1,4,85528,-4
1,2097,2,6,1980,-4,1,1,12522,-4
0,2098,2,3,1981,0,1,1,-4,1
2,2099,1,9,1981,30,1,1,70835,2
4,2100,1,10,1984,34,1,1,17689,-5
0,2101,2,7,1984,13,1,1,40241,-4
0,2102,2,1,1980,-4,1,1,24844,-4
0,2103,2,6,1984,45,1,1,37476,-4
1,2104,2,11,1984,53,1,1,35738,-4
2,2105,2,2,1981,5,1,1,14151,-4
1,2106,2,7,1981,-4,1,3,27771,-4
0,2107,2,7,1982,77,1,1,61498,5
0,2108,1,5,1982,2,1,1,13614,-4
0,2109,2,4,1984,82,1,4,-4,-4
0,2110,1,11,1980,-4,1,4,-4,-5
0,2111,1,10,1980,-4,1,4,25451,-4
0,2112,2,12,1981,88,1,4,98502,-4
0,2113,1,11,1983,88,1,4,85179,-5
1,2114,1,9,1982,-4,1,4,-4,-4
0,2115,2,2,1981,-4,1,4,-4,-5
2,2116,1,9,1980,-4,1,4,-5,-4
0,2117,2,8,1982,19,1,4,44728,-4
1,2118,1,7,1984,13,1,4,16213,-4
10,2119,1,12,1980,-3,1,4,15819,-5
0,2120,1,9,1983,7,1,4,68691,-4
0,2121,1,12,1980,-4,1,4,58884,-4
2,2122,1,4,1983,5,1,4,43902,-4
0,2123,1,4,1981,-4,1,4,68136,-4
0,2124,2,12,1983,34,1,4,55643,-5
0,2125,2,4,1983,75,1,2,-4,-5
4,2126,2,2,1982,5,1,4,-4,-4
0,2127,2,5,1980,-4,1,4,81430,-5
0,2128,1,6,1982,0,1,4,27349,-4
0,2129,1,7,1983,92,1,4,47910,-4
0,2130,1,4,1984,96,1,4,91337,-4
0,2131,1,11,1981,14,1,4,78236,-5
0,2132,2,6,1984,34,1,4,37719,-4
0,2133,2,5,1982,86,1,4,93630,-4
4,2134,1,2,1980,-4,1,1,13657,-5
0,2135,2,5,1984,16,1,1,22388,-4
3,2136,1,6,1982,82,1,4,36484,-4
0,2137,1,12,1982,32,1,4,49108,-4
5,2138,1,2,1980,-4,1,4,60202,-5
5,2139,1,8,1981,-4,1,4,-4,-4
0,2140,2,3,1981,-4,1,4,89919,-5
1,2141,1,7,1984,16,1,4,53137,-4
0,2142,2,1,1983,25,1,4,57031,-4
0,2143,2,6,1984,1,1,4,40698,-4
1,2144,1,6,1982,25,1,4,34281,-5
0,2145,1,1,1980,-4,1,4,-4,-4
0,2146,2,2,1983,95,1,4,94708,-4
0,2147,1,2,1981,-4,1,4,92476,-4
0,2148,2,1,1980,-4,1,4,29661,-4
1,2149,1,3,1983,37,1,4,-4,-4
0,2150,1,3,1980,-4,1,4,33444,-4
0,2151,1,12,1981,92,1,4,72993,-5
0,2152,2,11,1980,-4,1,4,93180,-4
0,2153,2,6,1982,75,1,4,43841,-4
1,2154,1,9,1980,-4,1,4,17772,-5
0,2155,2,9,1981,5,1,4,32079,-4
0,2156,2,6,1981,37,1,4,65472,-5
5,2157,2,10,1981,25,1,4,37558,-4
6,2158,1,2,1983,27,1,4,1283,-4
0,2159,1,2,1982,30,1,4,20547,-4
1,2160,2,11,1983,66,1,2,38536,-4
1,2161,1,12,1980,5,1,4,-5,-5
0,2162,1,11,1982,-4,1,4,94075,-4
0,2163,2,3,1980,-4,1,4,90416,-4
5,2164,1,1,1982,-4,1,4,82791,-4
0,2165,1,6,1984,25,1,4,64890,-4
0,2166,1,3,1982,2,1,4,10258,-4
0,2167,1,7,1983,91,1,4,75942,-5
1,2168,1,5,1981,-4,1,4,86587,-4
0,2169,2,12,1984,77,1,4,76398,-4
0,2170,2,10,1983,4,1,2,10750,-5
0,2171,2,7,1983,97,1,4,82748,-4
4,2172,1,12,1981,-3,1,4,43193,-4
0,2173,1,1,1980,-4,1,4,45578,-5
0,2174,2,1,1981,-4,1,4,65012,-4
2,2175,1,11,1982,1,1,4,-5,-4
1,2176,2,2,1981,-4,1,4,49926,-4
0,2177,2,1,1984,95,1,4,96575,-5
2,2178,1,11,1982,-4,1,4,2746,-4
0,2179,2,4,1984,9,1,4,-4,-4
0,2180,2,10,1982,68,1,4,-4,-4
0,2181,1,6,1982,-4,1,4,-4,-4
1,2182,1,6,1981,-4,1,4,80748,-4
1,2183,1,4,1983,91,1,4,91840,-4
0,2184,2,3,1981,-4,1,4,29951,-1
0,2185,1,5,1982,16,1,4,33797,-5
2,2186,1,5,1984,-4,1,4,-4,-5
0,2187,1,9,1982,87,1,4,80143,-4
1,2188,1,4,1980,-4,1,4,60000,-4
0,2189,1,5,1981,-3,1,4,49275,-4
0,2190,1,1,1984,86,1,4,85360,-5
0,2191,2,10,1982,96,1,4,90918,-4
1,2192,2,6,1983,95,1,4,-4,-4
0,2193,1,8,1981,-3,1,4,5429,-5
0,2194,2,7,1983,18,1,4,4638,-4
0,2195,2,1,1984,96,1,4,71158,-5
7,2196,2,4,1980,-4,1,4,-5,-5
0,2197,1,5,1982,-3,1,4,25838,-4
0,2198,2,11,1980,-4,1,4,22337,-4
0,2199,1,9,1982,70,1,4,35954,-5
0,2200,1,12,1984,97,1,2,96270,-4
0,2201,2,11,1981,53,1,4,40239,-4
0,2202,2,7,1981,-4,1,4,-5,-4
0,2203,2,5,1983,-4,1,4,-4,-5
0,2204,2,2,1981,-4,1,4,83367,-4
0,2205,1,2,1981,-4,1,4,99249,-4
0,2206,1,8,1983,-3,1,4,89762,-4
1,2207,1,4,1981,-4,1,4,56853,-4
0,2208,1,8,1980,-4,1,4,96961,-4
0,2209,1,3,1982,-3,1,4,82015,-4
1,2210,1,12,1980,-4,1,4,94085,-4
0,2211,1,4,1984,-4,1,4,82887,-4
1,2212,1,8,1982,77,1,4,77782,-5
0,2213,1,4,1983,86,1,4,83360,-4
0,2214,1,12,1980,-4,1,4,43857,-4
2,2215,1,5,1984,86,1,4,89965,-4
0,2216,2,3,1980,-4,1,4,75137,-5
6,2217,2,5,1980,10,1,4,16783,-4
0,2218,1,12,1982,27,1,4,21847,-4
0,2219,2,8,1980,-4,1,4,-4,-4
0,2220,1,8,1984,63,1,4,-4,-4
0,2221,1,10,1981,88,1,4,42849,-5
0,2222,2,10,1980,-4,1,4,-5,-5
0,2223,2,12,1981,-4,1,4,-4,-5
0,2224,1,7,1983,79,1,4,-4,-4
1,2225,1,8,1983,68,1,4,57518,-5
10,2226,1,5,1983,92,1,4,86721,-4
1,2227,1,10,1984,2,1,4,2155,3
2,2228,1,5,1984,-3,1,4,-4,-4
0,2229,1,6,1983,-3,1,4,18368,-4
7,2230,1,6,1983,-3,1,4,27805,-4
0,2231,2,5,1983,66,1,2,-4,-4
0,2232,2,5,1981,-4,1,4,70936,-4
1,2233,1,9,1984,97,1,4,65383,-5
4,2234,1,1,1981,-4,1,4,63214,-4
0,2235,1,1,1984,63,1,4,44917,-4
0,2236,2,1,1981,-4,1,4,88290,-4
0,2237,1,3,1983,45,1,4,53072,-4
6,2238,1,4,1981,1,1,4,5281,-4
0,2239,2,1,1981,1,1,4,9221,-5
0,2240,2,1,1981,16,1,4,22758,-5
0,2241,1,4,1983,32,1,4,26028,-5
1,2242,1,2,1980,4,1,2,15349,-5
0,2243,2,1,1983,37,1,2,9854,-5
3,2244,2,9,1982,23,1,4,-4,-5
0,2245,2,3,1984,-3,1,4,-4,-4
0,2246,1,8,1981,-4,1,4,-4,-4
3,2247,2,3,1982,9,1,2,53682,-4
0,2248,2,12,1984,84,1,4,-4,-4
0,2249,2,3,1980,-4,1,4,49666,-4
2,2250,1,10,1981,87,1,4,90180,-4
2,2251,1,3,1984,39,1,4,62720,-4
0,2252,1,2,1981,-4,1,4,100000,-4
0,2253,1,6,1982,82,1,4,96780,-4
2,2254,1,1,1981,61,1,4,40491,-4
0,2255,1,1,1981,-4,1,4,40850,-4
1,2256,1,8,1983,-3,1,4,38672,-4
0,2257,1,6,1980,-4,1,4,68920,-4
0,2258,2,9,1984,-4,1,4,90594,-4
0,2260,2,12,1984,34,1,4,-4,-4
3,2261,1,3,1980,-4,1,4,36480,-4
0,2262,1,8,1983,75,1,4,41081,-4
0,2263,2,3,1982,30,1,4,19945,-4
3,2264,1,11,1983,2,1,4,6630,-4
0,2265,2,1,1982,66,1,4,17145,-4
0,2266,1,3,1984,87,1,4,80238,-4
10,2267,1,11,1982,12,1,4,50806,-4
0,2268,2,9,1981,-4,1,4,78930,-5
0,2269,1,10,1982,79,1,4,80074,-5
0,2270,2,12,1981,66,1,4,73762,-4
0,2271,2,9,1981,25,1,4,47904,-4
5,2272,1,9,1983,87,1,4,67952,-4
0,2273,1,12,1981,87,1,4,68101,-4
4,2274,1,10,1984,-3,1,2,-4,-4
0,2275,1,9,1980,-4,1,4,90598,-4
0,2276,1,6,1983,91,1,4,-4,-5
0,2277,2,12,1980,-4,1,2,-4,-4
1,2278,1,7,1982,68,1,2,36978,-4
0,2279,1,2,1983,84,1,4,52083,-4
1,2280,2,8,1984,96,1,2,88298,-4
0,2281,1,2,1981,86,1,1,-4,-4
1,2282,1,12,1984,2,1,1,-4,-4
2,2283,2,3,1982,0,1,1,0,-4
0,2284,2,12,1980,-4,1,1,-4,-4
0,2285,1,9,1984,0,1,2,19208,-5
1,2286,2,6,1981,-4,1,4,29837,-4
0,2287,2,1,1981,-4,1,4,-4,-4
2,2288,1,7,1982,45,1,4,-5,-4
1,2289,1,7,1982,92,1,4,94163,-5
0,2290,1,10,1983,86,1,4,85526,-4
7,2291,1,3,1981,81,1,4,63597,-4
0,2292,1,12,1980,-4,1,4,75006,-4
0,2293,2,4,1980,-4,1,4,21501,-4
0,2294,1,1,1981,-4,1,4,-5,-4
3,2295,1,8,1981,-4,1,4,32382,-4
0,2296,1,6,1983,81,1,4,66282,-4
1,2297,1,5,1981,-4,1,4,12220,-4
0,2298,2,9,1984,77,1,4,55410,-4
0,2299,2,9,1984,79,1,4,67517,-4
0,2300,1,9,1980,-4,1,1,39714,-5
0,2301,1,9,1983,2,1,1,35834,-4
1,2302,1,4,1982,55,1,1,39945,-5
3,2303,1,7,1983,12,1,1,15947,-5
0,2304,2,4,1980,-4,1,4,66667,-4
5,2305,1,4,1982,61,1,4,30911,-4
0,2306,1,11,1980,-4,1,4,26424,-4
0,2307,2,8,1984,96,1,4,77205,-4
1,2308,1,1,1983,88,1,4,95023,-4
0,2309,1,12,1984,90,1,4,85077,-4
9,2310,1,11,1980,-4,1,4,83749,-4
1,2311,2,10,1983,12,1,4,26606,-4
1,2312,1,2,1981,-4,1,4,44460,-4
3,2313,1,7,1982,37,1,4,56232,-4
4,2314,1,7,1984,14,1,4,17107,-5
2,2315,1,1,1982,23,1,4,15402,-4
1,2316,1,10,1982,25,1,1,17620,-4
4,2317,2,3,1984,21,1,1,25456,-4
0,2318,2,10,1980,-4,1,4,53747,-4
0,2319,1,10,1982,81,1,4,76424,-4
2,2320,2,1,1980,-4,1,4,20767,-4
4,2321,2,9,1982,75,1,4,-4,-4
4,2322,2,7,1984,1,1,4,-4,-4
3,2323,2,12,1980,-4,1,4,2047,-4
5,2324,2,9,1982,10,1,4,10266,-4
0,2325,1,11,1983,88,1,4,79063,-4
2,2326,1,7,1981,47,1,4,22038,-4
4,2327,1,3,1982,66,1,4,41604,-4
0,2328,1,2,1982,90,1,4,99651,-4
0,2329,1,9,1981,87,1,4,79688,-4
0,2330,1,9,1984,97,1,4,96841,-4
0,2331,1,9,1982,87,1,4,83458,-4
0,2332,2,12,1984,91,1,4,55256,-4
0,2333,1,9,1981,-4,1,4,72880,-4
0,2334,2,2,1981,-4,1,4,-5,-5
0,2335,2,7,1984,86,1,4,-5,-5
0,2336,2,2,1983,61,1,4,-4,-5
1,2337,2,2,1982,91,1,4,98524,-5
0,2338,1,6,1984,87,1,4,70305,-4
0,2339,2,4,1980,-4,1,4,98722,-4
0,2340,2,8,1982,96,1,4,92452,-4
0,2341,1,8,1984,87,1,4,76866,-5
2,2342,1,3,1981,-4,1,4,76481,-4
0,2343,2,5,1983,82,1,4,75126,-4
0,2344,2,4,1984,86,1,4,71146,-4
0,2345,2,9,1981,-4,1,4,43696,-4
0,2346,1,5,1981,-4,1,4,77774,-4
0,2347,2,3,1984,97,1,4,100000,-4
0,2348,2,6,1983,50,1,4,66664,-5
0,2349,1,4,1980,-4,1,4,41267,-4
0,2350,1,3,1982,91,1,4,92661,-4
0,2351,2,12,1984,75,1,4,44904,-4
0,2352,1,5,1980,-4,1,4,80593,-4
0,2353,2,11,1981,-4,1,4,53985,-5
0,2354,2,6,1980,-4,1,2,85331,-5
0,2355,1,9,1981,-4,1,2,-4,-5
3,2356,2,7,1984,4,1,2,36386,3
4,2357,1,2,1983,50,1,1,-4,-4
0,2358,1,7,1984,16,1,1,-4,2
0,2359,2,2,1980,-4,1,1,11232,-5
2,2360,1,5,1983,37,1,1,28259,-4
6,2361,1,5,1981,27,1,1,-5,-4
5,2362,1,5,1983,25,1,1,44637,-4
0,2363,1,6,1980,-4,1,1,48317,-5
0,2364,2,8,1983,37,1,1,35178,-4
0,2365,1,4,1984,5,1,4,6293,-4
1,2366,2,12,1981,87,1,2,60190,-4
1,2367,1,7,1980,-4,1,4,36395,-5
10,2368,2,6,1982,90,1,4,69402,-4
0,2369,1,10,1983,45,1,4,48976,-5
12,2370,1,5,1981,-4,1,4,-5,-4
0,2371,1,7,1982,21,1,4,39558,-4
0,2372,1,7,1981,55,1,4,48317,-5
0,2373,1,3,1981,75,1,4,46168,-4
0,2374,1,9,1982,4,1,4,50505,-4
12,2375,1,6,1984,75,1,4,69103,-4
0,2376,1,2,1980,-4,1,4,98782,-5
0,2377,1,7,1983,95,1,4,99676,-4
0,2378,2,7,1980,-4,1,4,63908,-4
0,2379,1,2,1983,79,1,4,21699,-4
0,2380,2,9,1984,55,1,4,63130,-4
0,2381,1,11,1984,75,1,4,44553,-5
0,2382,1,11,1981,81,1,2,90519,-4
1,2383,1,2,1981,-4,1,1,76955,-4
0,2384,1,6,1981,-4,1,4,57613,-5
0,2385,1,2,1983,55,1,4,43562,-5
0,2386,2,8,1980,-4,1,4,-4,-5
4,2387,1,12,1981,82,1,4,-4,-4
7,2388,1,5,1982,34,1,4,-4,-4
1,2389,1,7,1981,16,1,1,-4,-4
0,2390,2,7,1982,9,1,1,-4,-5
0,2391,2,6,1983,81,1,1,-4,-5
0,2392,2,4,1981,-4,1,4,62250,-4
1,2393,1,5,1983,63,1,4,42428,-4
0,2394,1,10,1982,-4,1,4,87388,-4
0,2395,1,11,1984,94,1,4,68350,-4
0,2396,2,12,1980,-4,1,4,88026,-4
0,2397,1,2,1981,-4,1,4,78152,-4
0,2398,1,9,1982,32,1,4,43565,-4
1,2399,2,7,1982,34,1,4,35000,4
1,2400,2,7,1982,27,1,4,22110,-5
0,2401,2,7,1982,-3,1,4,26548,2
0,2402,1,12,1982,23,1,4,23921,-4
0,2403,2,7,1980,-4,1,4,89586,-4
0,2404,1,12,1984,-3,1,4,38132,-4
0,2405,2,5,1981,-4,1,4,91149,-5
0,2406,2,3,1984,91,1,4,91656,-5
1,2407,1,9,1980,-4,1,4,66812,-4
1,2408,1,12,1982,50,1,4,37396,-5
2,2409,1,8,1981,23,1,4,33663,-4
0,2410,1,11,1983,32,1,4,37454,-4
2,2411,1,5,1982,37,1,4,20507,-4
0,2412,2,12,1980,-4,1,4,78371,-5
0,2413,2,4,1984,77,1,2,-5,-5
0,2414,1,1,1980,-4,1,2,57614,-4
0,2415,2,8,1980,-4,1,4,50965,-5
0,2416,2,1,1980,-4,1,4,79482,-4
0,2417,1,2,1983,2,1,4,-4,-4
2,2418,1,10,1981,-4,1,2,24140,-4
5,2419,1,1,1984,30,1,2,15430,-4
0,2420,2,12,1984,96,1,4,69098,-4
0,2421,1,9,1980,-4,1,4,70580,-4
2,2422,1,12,1981,91,1,4,96904,-4
1,2423,1,9,1980,-4,1,4,76009,-4
0,2424,2,3,1984,9,1,4,21666,-5
1,2425,1,11,1980,-4,1,4,68696,-5
2,2426,2,3,1980,-4,1,4,55637,-4
5,2427,2,8,1981,1,1,4,5137,-5
0,2428,1,5,1980,-4,1,4,-5,-5
0,2429,1,5,1982,81,1,4,-5,-5
0,2430,2,3,1981,27,1,4,32807,-4
0,2431,1,10,1984,97,1,4,70807,-4
0,2432,2,9,1980,-4,1,4,62684,-5
0,2433,2,9,1983,25,1,4,12337,-5
0,2434,1,3,1980,-4,1,4,78235,-4
0,2435,2,11,1983,95,1,4,71937,-4
0,2436,1,3,1980,-4,1,4,19914,-4
1,2437,2,3,1984,63,1,4,52481,-4
1,2438,2,7,1983,45,1,4,-4,-5
0,2439,1,12,1982,95,1,4,90412,-4
0,2440,2,7,1980,-4,1,1,-4,-4
1,2441,1,10,1981,37,1,1,27965,-4
1,2442,1,5,1982,27,1,2,23523,-4
1,2443,2,8,1984,66,1,2,84573,-4
2,2444,2,2,1984,79,1,1,36663,-4
6,2445,2,11,1982,9,1,4,32309,-4
4,2446,2,11,1984,37,1,4,-4,-4
3,2447,1,6,1980,7,1,4,23715,-4
0,2448,2,2,1981,-4,1,4,-4,-4
9,2449,1,3,1981,0,1,4,-5,-5
0,2450,2,4,1982,2,1,4,-5,-5
0,2451,1,7,1982,84,1,4,-4,-4
0,2452,2,7,1982,10,1,4,27227,-4
0,2453,1,12,1983,66,1,4,-4,-4
0,2454,2,1,1982,30,1,2,32467,-4
1,2455,1,8,1983,13,1,2,2452,-4
1,2456,2,10,1982,23,1,4,53969,-5
1,2457,2,10,1983,68,1,4,46657,5
0,2458,1,1,1984,91,1,4,96230,-5
1,2459,1,1,1981,-4,1,4,91026,-5
0,2460,1,6,1983,96,1,4,93295,-4
0,2461,1,8,1982,92,1,4,88931,-4
0,2462,2,7,1981,-4,1,4,33231,-4
1,2463,1,7,1984,13,1,4,53753,-4
0,2464,2,2,1980,-4,1,4,94483,-5
0,2465,2,8,1982,91,1,4,49136,5
0,2466,1,1,1984,87,1,4,92921,-5
0,2467,1,12,1984,-4,1,4,-4,-5
0,2468,1,9,1982,91,1,4,76008,-5
2,2469,1,12,1981,0,1,4,-4,-4
0,2470,1,11,1982,91,1,4,96462,-4
0,2471,2,4,1981,-4,1,4,-5,-5
0,2472,2,8,1983,98,1,4,-4,-4
0,2473,2,5,1982,61,1,4,54900,-4
4,2474,2,1,1984,63,1,4,26496,-4
1,2475,2,8,1980,-4,1,2,42842,-4
0,2476,2,4,1983,95,1,4,71417,-4
0,2477,1,6,1984,58,1,4,81618,-4
0,2478,2,8,1980,-4,1,4,87857,-4
0,2479,1,2,1982,93,1,4,86791,-5
0,2480,1,4,1981,-4,1,4,96704,-4
0,2481,1,2,1984,90,1,4,58241,-4
1,2482,2,10,1981,-4,1,4,70446,-4
0,2483,1,10,1983,90,1,4,75525,-4
0,2484,1,10,1983,55,1,4,14912,-5
1,2485,1,3,1983,86,1,4,70771,-5
0,2486,2,1,1980,-4,1,4,-4,-4
0,2487,1,6,1982,75,1,4,54543,-5
23,2488,2,8,1984,23,1,4,39305,-4
0,2489,2,8,1980,-4,1,4,92510,-5
9,2490,1,7,1983,84,1,4,-4,-4
0,2491,2,8,1984,95,1,4,94720,-4
0,2492,1,10,1980,-4,1,4,89588,-5
0,2493,2,4,1982,91,1,4,91837,-4
0,2494,2,2,1984,90,1,4,47055,-4
0,2495,2,5,1980,-4,1,4,85764,-5
0,2496,1,10,1982,95,1,4,96832,7
2,2497,1,8,1983,91,1,4,70129,-5
0,2498,1,7,1980,-4,1,4,-4,-4
0,2499,1,10,1981,-4,1,4,-4,-4
0,2500,1,2,1983,55,1,4,32536,-4
0,2501,2,8,1983,90,1,2,-4,-4
2,2502,2,9,1982,0,1,4,1386,-4
0,2503,1,9,1980,-4,1,4,84477,-5
0,2504,2,6,1984,91,1,4,86400,-4
0,2505,2,8,1982,10,1,4,41987,-4
1,2506,1,9,1984,47,1,4,29546,-4
2,2507,1,3,1984,47,1,4,13051,-4
0,2508,1,3,1982,79,1,4,73746,-5
0,2509,2,9,1980,-4,1,4,35148,-4
1,2510,2,5,1983,82,1,4,76595,-4
0,2511,1,2,1980,-4,1,4,-4,-4
0,2512,2,7,1981,1,1,4,2454,1
0,2513,1,4,1980,-4,1,4,69345,-4
0,2514,1,9,1981,-4,1,4,85095,-5
0,2515,1,9,1983,95,1,4,74554,-4
6,2516,1,2,1981,-4,1,4,-5,-4
0,2517,1,4,1984,63,1,4,-4,-4
0,2518,2,4,1981,-4,1,4,21044,-4
0,2519,1,4,1981,-4,1,4,-4,-4
5,2520,1,2,1981,7,1,4,16462,-4
0,2521,2,12,1983,53,1,4,62355,-5
0,2522,1,9,1981,-4,1,4,97634,-4
0,2523,1,5,1984,86,1,4,84294,-4
0,2524,1,11,1982,63,1,4,78872,-4
