"E8033100","R0000100","R0536300","R0536401","R0536402","R1210700","R1235800","R1482600","R9829600","U4282400"
0,135,1,4,1981,-4,1,4,94833,-5
0,136,2,9,1983,87,1,4,89028,-5
0,137,2,5,1980,-4,1,4,63329,4
0,138,1,4,1984,88,1,4,60424,-4
0,139,2,7,1984,91,1,4,98914,-5
0,140,1,12,1983,91,1,2,79409,-5
0,141,2,1,1980,-4,1,4,50052,-5
0,142,2,1,1981,-4,1,4,55540,-5
0,143,1,8,1981,-4,1,1,42098,-4
2,144,1,8,1982,91,1,1,62219,-4
0,145,1,4,1984,55,1,1,39585,-4
0,146,1,7,1984,9,1,1,18371,-4
0,147,2,2,1984,53,1,4,42348,-5
1,148,2,10,1982,9,1,1,-4,-5
0,149,2,4,1983,1,1,1,5071,-4
10,150,1,2,1984,25,1,1,12233,-4
0,151,2,1,1982,13,1,1,19749,-4
3,152,1,5,1982,14,1,1,27157,-5
0,153,2,2,1980,-4,1,1,10825,-4
0,154,1,6,1980,-4,1,4,97902,-5
1,155,1,2,1980,-4,1,4,99595,-4
2,156,1,11,1982,95,1,4,92692,-4
0,157,2,3,1982,21,1,2,-4,5
0,158,1,12,1984,23,1,2,79949,-5
0,159,2,1,1980,-4,1,2,3049,-4
2,160,2,1,1981,-4,1,2,5463,-4
14,161,1,1,1982,1,1,2,4251,-4
0,162,2,8,1981,-4,1,1,-5,5
3,163,1,2,1983,63,1,1,-5,-5
1,164,2,7,1981,-4,1,4,50169,-4
0,165,1,4,1980,-4,1,4,40421,-4
0,166,2,9,1982,-3,1,4,83128,-4
0,167,1,11,1984,3,1,2,-4,-4
0,168,1,1,1981,8,1,2,31337,-4
24,169,2,1,1983,92,1,4,75582,1
0,170,2,8,1984,97,1,4,61533,-4
0,171,2,7,1984,73,1,2,87967,-4
0,172,1,7,1983,95,1,4,98687,-5
0,173,2,6,1980,-4,1,4,-5,-5
0,174,1,4,1983,50,1,4,-4,-4
0,175,2,10,1981,-4,1,4,95637,-5
0,176,1,9,1982,95,1,4,90292,-4
0,177,2,11,1980,-4,1,4,46304,-4
0,178,2,3,1980,-4,1,4,87198,-4
0,179,2,9,1981,86,1,4,-4,-5
0,180,1,9,1983,98,1,4,95254,-5
0,181,2,11,1982,96,1,4,100000,-4
0,182,2,5,1984,95,1,4,98196,-4
0,183,2,12,1980,-4,1,4,81282,-4
0,184,1,12,1984,70,1,4,79429,-5
7,185,1,6,1981,-4,1,1,7810,-5
0,186,2,7,1983,86,1,4,-4,-5
0,187,1,9,1983,86,1,2,85828,-4
0,188,2,10,1980,-4,1,4,42443,-4
0,189,2,8,1984,61,1,4,-4,-5
2,190,1,10,1983,95,1,4,82474,-4
6,191,1,2,1982,81,1,4,74248,-4
0,192,2,3,1982,77,1,2,55484,-4
1,193,2,2,1981,-4,1,1,18081,-4
1,194,2,10,1980,-4,1,2,49636,-2
11,195,1,1,1983,90,1,1,63503,-4
1,196,1,4,1984,-3,1,2,-5,-5
0,197,2,12,1981,87,1,4,75823,-1
1,198,2,7,1980,-4,1,4,29945,-4
7,199,1,6,1982,84,1,4,52600,-4
0,200,1,8,1980,-4,1,4,-4,-4
0,201,2,12,1983,96,1,4,99591,-4
0,202,1,1,1982,79,1,4,39048,-4
0,203,2,1,1984,84,1,4,46707,-4
0,204,2,5,1981,-4,1,4,61895,-4
0,205,2,11,1983,-3,1,4,33506,-4
1,206,1,2,1982,47,1,4,-4,-4
0,207,2,11,1981,-4,1,4,81998,-4
0,208,2,3,1984,96,1,4,71791,-5
0,209,1,6,1983,21,1,2,-4,-5
0,210,1,5,1984,21,1,2,-4,-5
0,211,2,6,1980,-4,1,2,-4,-4
0,212,1,2,1980,-4,1,2,42507,-5
0,213,2,4,1982,86,1,2,35568,-4
0,214,2,11,1982,53,1,2,66561,-4
0,215,1,5,1981,-4,1,2,-4,-4
0,216,2,6,1980,-4,1,2,60496,-4
0,217,2,11,1982,30,1,2,44030,-4
0,218,1,9,1983,13,1,2,-4,-5
0,219,1,3,1982,84,1,3,80773,-4
0,220,1,3,1984,88,1,4,66556,-4
0,221,2,9,1984,39,1,4,82209,-4
0,222,1,1,1981,-4,1,2,62197,-5
0,223,1,1,1981,-4,1,2,87923,-4
0,224,2,10,1982,14,1,4,37760,-4
0,225,1,10,1980,-4,1,4,54975,-4
0,226,2,3,1981,-4,1,1,7113,-4
5,227,2,1,1980,21,1,3,-4,-5
0,228,1,1,1984,34,1,4,29631,-4
0,229,2,2,1984,96,1,4,86033,-4
4,230,1,5,1984,55,1,2,62122,-4
3,231,1,11,1980,13,1,2,-4,-4
0,232,1,6,1984,16,1,2,43085,-4
8,233,1,12,1980,-4,1,2,-4,-4
1,234,2,8,1983,14,1,2,-4,-4
0,235,2,8,1981,-4,1,4,60888,5
0,236,2,12,1984,92,1,2,76936,-4
0,237,1,3,1983,50,1,4,58782,-4
0,238,2,8,1981,-4,1,4,79982,-4
0,239,1,9,1980,-4,1,4,-4,-4
0,240,2,4,1983,95,1,4,-4,-4
0,241,2,2,1983,45,1,2,51504,-4
0,242,1,6,1984,6,1,2,45199,-4
0,243,2,2,1983,50,1,3,29804,-4
0,244,1,3,1983,73,1,2,10687,-4
0,245,2,7,1984,63,1,4,72248,-4
0,246,1,10,1980,-4,1,2,89776,-4
1,247,1,3,1982,90,1,4,86419,-4
0,248,2,9,1983,91,1,4,87611,-4
0,249,1,8,1981,73,1,4,45564,-4
5,250,1,9,1981,-4,1,4,17015,-5
0,251,1,4,1982,90,1,2,56495,-4
0,252,2,7,1984,21,1,2,63505,-4
0,253,2,9,1984,-3,1,4,50121,-5
0,254,1,8,1981,77,1,4,58224,-4
0,255,2,7,1983,91,1,4,84456,-4
2,256,1,8,1980,-4,1,4,-4,-4
2,257,1,5,1984,-3,1,4,-4,-5
0,258,1,11,1982,68,1,4,42366,-4
0,259,1,12,1981,-3,1,4,53011,-4
0,260,1,12,1980,-4,1,1,18085,-4
2,261,1,4,1983,10,1,1,14864,-4
0,262,1,9,1980,-4,1,1,9388,-4
1,263,1,7,1983,84,1,1,33760,-4
0,264,1,7,1982,-3,1,4,57523,-4
0,265,1,9,1983,21,1,2,10621,-4
0,266,2,12,1980,-4,1,4,-4,5
0,267,2,12,1980,-4,1,4,91328,-4
0,268,1,12,1981,13,1,2,36454,-4
3,269,2,6,1981,-4,1,4,45316,-5
3,270,2,1,1984,75,1,4,75382,-5
0,271,2,8,1982,13,1,4,15074,-4
1,272,2,9,1982,-3,1,2,18296,-4
0,273,2,4,1983,55,1,2,-4,-4
0,274,2,8,1980,-4,1,2,-5,-5
0,275,1,12,1980,-4,1,2,-4,-5
0,276,2,1,1982,-3,1,2,-4,-5
1,277,1,2,1984,13,1,2,-4,-5
0,278,1,9,1980,-4,1,4,63505,-4
0,279,1,4,1981,-4,1,4,-4,-4
1,280,1,5,1983,84,1,4,-4,-5
2,281,1,12,1984,87,1,1,53768,-4
8,282,1,6,1980,-4,1,4,20877,-4
0,283,1,5,1984,91,1,4,72692,-4
0,284,2,3,1981,-4,1,1,9799,-4
0,285,1,2,1981,-4,1,4,28624,-4
0,286,2,9,1984,99,1,4,-4,-4
0,287,1,5,1980,-4,1,4,18211,-4
0,288,2,10,1983,84,1,4,34539,-4
0,289,2,10,1984,47,1,4,52200,-4
0,290,2,1,1984,68,1,4,39122,-4
2,291,2,6,1980,-4,1,4,44991,-4
0,292,2,9,1984,82,1,1,56630,-4
0,293,2,11,1983,95,1,2,89741,-4
0,294,1,5,1982,81,1,2,64580,-4
1,295,2,9,1984,47,1,2,-4,-4
0,296,2,12,1981,2,1,2,10256,-4
1,297,1,7,1984,25,1,2,17932,-5
0,298,2,6,1983,84,1,4,95218,-4
0,299,1,5,1981,-4,1,4,18566,-4
0,300,2,5,1984,87,1,4,-4,-4
0,301,2,12,1981,61,1,4,4216,-4
0,302,2,3,1984,82,1,4,86696,-5
1,303,2,9,1980,-4,1,4,56044,-4
0,304,1,2,1983,93,1,4,80090,-4
0,305,2,2,1983,3,1,4,40245,5
0,306,2,2,1980,-4,1,4,62235,-4
0,307,2,5,1980,-4,1,4,88283,-4
0,308,1,4,1981,53,1,4,24145,-5
0,309,2,4,1981,-3,1,4,27426,-4
0,310,2,6,1982,82,1,4,45052,-5
0,311,1,3,1982,82,1,4,73369,-4
0,312,2,7,1982,93,1,4,80507,-5
0,313,2,4,1981,-4,1,4,96328,-4
0,314,1,10,1984,100,1,4,98451,-5
2,315,2,1,1982,42,1,4,34805,4
0,316,1,4,1982,91,1,4,71838,-5
0,317,2,8,1980,-4,1,2,-4,-5
0,318,1,2,1983,37,1,4,27268,-5
0,319,2,3,1983,-3,1,4,36222,-5
0,320,2,7,1982,23,1,4,-4,-4
0,321,1,10,1981,-4,1,4,70777,-4
0,322,2,6,1982,45,1,4,55736,-4
0,323,1,3,1980,-4,1,4,88413,-4
0,324,1,6,1980,-4,1,4,-4,-5
0,325,1,9,1984,30,1,4,36685,-5
0,326,2,3,1980,-4,1,4,35463,-5
0,327,2,1,1983,92,1,4,-4,-4
0,328,1,3,1984,10,1,4,45243,-5
0,329,1,2,1984,47,1,4,61751,-4
0,330,1,6,1982,10,1,4,16242,-5
0,331,2,4,1980,-4,1,4,-4,-4
0,332,1,1,1980,-4,1,4,98368,-4
0,333,2,8,1982,45,1,4,43110,-4
0,334,2,1,1984,77,1,4,67241,-4
0,335,2,6,1980,-4,1,4,81833,-4
1,336,1,2,1982,88,1,1,48416,-4
0,337,1,7,1983,96,1,4,73243,-4
0,338,2,4,1981,-4,1,4,83123,-4
0,339,2,9,1981,-4,1,4,69403,-4
0,340,1,12,1981,30,1,4,23765,-4
0,341,1,12,1983,34,1,4,61481,-4
1,342,1,3,1982,42,1,4,-4,-4
1,343,1,3,1984,0,1,4,-4,1
3,344,1,3,1984,50,1,4,-4,2
6,345,1,3,1984,0,1,4,-4,-4
